Datetime,temperature(°C),temperature(°F),humidity(%),pressure(hPa)
17:17:26 15/01/2024, 16.67, 62.00, 45.86, 986.79
17:17:36 15/01/2024, 16.71, 62.07, 45.83, 986.88
17:17:46 15/01/2024, 16.73, 62.11, 45.77, 986.89
17:17:56 15/01/2024, 16.74, 62.13, 45.75, 986.85
17:18:06 15/01/2024, 16.76, 62.16, 45.75, 986.83
17:18:16 15/01/2024, 16.78, 62.20, 45.71, 986.97
17:18:26 15/01/2024, 16.79, 62.23, 45.72, 986.80
17:18:36 15/01/2024, 16.82, 62.27, 45.70, 986.84
17:18:46 15/01/2024, 16.84, 62.31, 45.65, 986.90
17:18:56 15/01/2024, 16.87, 62.36, 45.64, 986.89
17:19:06 15/01/2024, 16.88, 62.39, 45.63, 986.83
17:19:16 15/01/2024, 16.88, 62.39, 45.63, 986.94
17:19:26 15/01/2024, 16.91, 62.44, 45.61, 986.71
17:19:36 15/01/2024, 16.93, 62.47, 45.57, 986.82
17:19:47 15/01/2024, 16.94, 62.49, 45.54, 986.79
17:19:57 15/01/2024, 16.98, 62.56, 45.50, 986.81
17:20:07 15/01/2024, 16.97, 62.55, 45.51, 986.81
17:20:17 15/01/2024, 17.01, 62.61, 45.50, 986.83
17:20:27 15/01/2024, 17.02, 62.64, 45.49, 986.89
17:20:37 15/01/2024, 17.03, 62.66, 45.44, 986.87
17:20:47 15/01/2024, 17.06, 62.71, 45.43, 986.81
17:20:57 15/01/2024, 17.09, 62.76, 45.42, 986.77
17:21:07 15/01/2024, 17.12, 62.81, 45.33, 986.82
17:21:17 15/01/2024, 17.13, 62.84, 45.32, 986.82
17:21:27 15/01/2024, 17.13, 62.84, 45.33, 986.76
17:21:37 15/01/2024, 17.15, 62.88, 45.28, 986.77
17:21:47 15/01/2024, 17.18, 62.92, 45.26, 986.83
17:21:57 15/01/2024, 17.18, 62.93, 45.26, 986.79
17:22:07 15/01/2024, 17.19, 62.94, 45.27, 986.79
17:22:17 15/01/2024, 17.20, 62.96, 45.26, 986.84
17:22:27 15/01/2024, 17.23, 63.01, 45.24, 986.82
17:22:37 15/01/2024, 17.24, 63.03, 45.24, 986.76
17:22:47 15/01/2024, 17.26, 63.06, 45.20, 986.76
17:22:57 15/01/2024, 17.28, 63.11, 45.18, 986.75
17:23:07 15/01/2024, 17.29, 63.12, 45.14, 986.76
17:23:17 15/01/2024, 17.30, 63.13, 45.13, 986.69
17:23:27 15/01/2024, 17.31, 63.16, 45.15, 986.74
17:23:37 15/01/2024, 17.34, 63.22, 45.12, 986.82
17:23:47 15/01/2024, 17.34, 63.21, 45.11, 986.81
17:23:57 15/01/2024, 17.36, 63.24, 45.10, 986.78
17:24:07 15/01/2024, 17.37, 63.26, 45.10, 986.69
17:24:17 15/01/2024, 17.37, 63.26, 45.09, 986.69
17:24:27 15/01/2024, 17.38, 63.28, 45.11, 986.76
17:24:37 15/01/2024, 17.38, 63.29, 45.10, 986.71
17:24:47 15/01/2024, 17.39, 63.30, 45.10, 986.83
17:24:58 15/01/2024, 17.39, 63.31, 45.10, 986.79
17:25:08 15/01/2024, 17.40, 63.32, 45.12, 986.71
17:25:18 15/01/2024, 17.41, 63.34, 45.12, 986.78
17:25:28 15/01/2024, 17.43, 63.37, 45.09, 986.79
17:25:38 15/01/2024, 17.42, 63.36, 45.09, 986.75
17:25:48 15/01/2024, 17.43, 63.37, 45.08, 986.79
17:25:58 15/01/2024, 17.45, 63.41, 45.07, 986.79
17:26:08 15/01/2024, 17.46, 63.43, 45.09, 986.81
17:26:18 15/01/2024, 17.46, 63.44, 45.09, 986.79
17:26:28 15/01/2024, 17.47, 63.45, 45.09, 986.85
17:26:38 15/01/2024, 17.48, 63.46, 45.08, 986.76
17:26:48 15/01/2024, 17.48, 63.46, 45.09, 986.76
17:26:58 15/01/2024, 17.48, 63.47, 45.07, 986.82
17:27:08 15/01/2024, 17.49, 63.48, 45.09, 986.86
17:27:18 15/01/2024, 17.50, 63.50, 45.08, 986.79
17:27:28 15/01/2024, 17.50, 63.50, 45.12, 986.82
17:27:38 15/01/2024, 17.49, 63.48, 45.13, 986.83
17:27:48 15/01/2024, 17.48, 63.47, 45.13, 986.85
17:27:58 15/01/2024, 17.50, 63.50, 45.13, 986.82
17:28:08 15/01/2024, 17.52, 63.54, 45.14, 986.82
17:28:18 15/01/2024, 17.51, 63.51, 45.14, 986.85
17:28:28 15/01/2024, 17.52, 63.54, 45.18, 986.85
17:28:38 15/01/2024, 17.53, 63.56, 45.18, 986.89
17:28:48 15/01/2024, 17.52, 63.53, 45.20, 986.87
17:28:58 15/01/2024, 17.50, 63.49, 45.23, 986.75
17:29:08 15/01/2024, 17.52, 63.54, 45.22, 986.82
17:29:18 15/01/2024, 17.51, 63.52, 45.22, 986.75
17:29:28 15/01/2024, 17.50, 63.49, 45.28, 986.86
17:29:38 15/01/2024, 17.49, 63.48, 45.29, 986.86
17:29:48 15/01/2024, 17.48, 63.46, 45.30, 986.87
17:29:58 15/01/2024, 17.46, 63.43, 45.35, 986.84
17:30:08 15/01/2024, 17.46, 63.44, 45.39, 986.84
17:30:18 15/01/2024, 17.47, 63.45, 45.43, 986.85
17:30:29 15/01/2024, 17.46, 63.43, 45.47, 986.89
17:30:39 15/01/2024, 17.44, 63.40, 45.47, 986.87
17:30:49 15/01/2024, 17.44, 63.39, 45.50, 986.86
17:30:59 15/01/2024, 17.44, 63.40, 45.50, 986.76
17:31:09 15/01/2024, 17.45, 63.41, 45.53, 986.85
17:31:19 15/01/2024, 17.45, 63.41, 45.55, 986.85
17:31:29 15/01/2024, 17.44, 63.39, 45.57, 986.86
17:31:39 15/01/2024, 17.43, 63.37, 45.63, 986.84
17:31:49 15/01/2024, 17.40, 63.32, 45.66, 986.90
17:31:59 15/01/2024, 17.39, 63.30, 45.71, 986.89
17:32:09 15/01/2024, 17.37, 63.26, 45.75, 986.88
17:32:19 15/01/2024, 17.37, 63.26, 45.78, 986.88
17:32:29 15/01/2024, 17.37, 63.26, 45.82, 986.88
17:32:39 15/01/2024, 17.35, 63.23, 45.84, 986.83
17:32:49 15/01/2024, 17.35, 63.23, 45.89, 986.88
17:32:59 15/01/2024, 17.34, 63.22, 45.90, 986.90
17:33:09 15/01/2024, 17.33, 63.19, 45.95, 986.90
17:33:19 15/01/2024, 17.33, 63.19, 45.98, 986.90
17:33:29 15/01/2024, 17.30, 63.13, 46.05, 986.91
17:33:39 15/01/2024, 17.29, 63.12, 46.10, 986.89
17:33:49 15/01/2024, 17.27, 63.08, 46.13, 986.94
17:33:59 15/01/2024, 17.27, 63.08, 46.16, 986.91
17:34:09 15/01/2024, 17.25, 63.04, 46.21, 986.99
17:34:19 15/01/2024, 17.24, 63.03, 46.26, 986.96
17:34:29 15/01/2024, 17.21, 62.98, 46.30, 986.94
17:34:39 15/01/2024, 17.21, 62.98, 46.36, 986.91
17:34:49 15/01/2024, 17.20, 62.97, 46.40, 986.93
17:34:59 15/01/2024, 17.20, 62.97, 46.41, 986.87
17:35:09 15/01/2024, 17.20, 62.96, 46.43, 987.03
17:35:19 15/01/2024, 17.19, 62.95, 46.44, 986.94
17:35:29 15/01/2024, 17.17, 62.91, 46.47, 986.99
17:35:40 15/01/2024, 17.18, 62.92, 46.51, 987.00
17:35:50 15/01/2024, 17.16, 62.89, 46.54, 986.97
17:36:00 15/01/2024, 17.16, 62.89, 46.56, 986.99
17:36:10 15/01/2024, 17.15, 62.88, 46.60, 987.01
17:36:20 15/01/2024, 17.15, 62.88, 46.63, 986.88
17:36:30 15/01/2024, 17.14, 62.85, 46.64, 986.99
17:36:40 15/01/2024, 17.14, 62.85, 46.69, 986.99
17:36:50 15/01/2024, 17.13, 62.83, 46.71, 987.03
17:37:00 15/01/2024, 17.11, 62.80, 46.76, 987.00
17:37:10 15/01/2024, 17.11, 62.79, 46.79, 987.00
17:37:20 15/01/2024, 17.10, 62.78, 46.85, 987.03
17:37:30 15/01/2024, 17.08, 62.74, 46.87, 987.00
17:37:40 15/01/2024, 17.08, 62.74, 46.90, 987.00
17:37:50 15/01/2024, 17.07, 62.73, 46.93, 986.94
17:38:00 15/01/2024, 17.07, 62.72, 46.97, 986.99
17:38:10 15/01/2024, 17.05, 62.69, 47.03, 987.04
17:38:20 15/01/2024, 17.04, 62.68, 47.05, 986.97
17:38:30 15/01/2024, 17.03, 62.65, 47.08, 987.06
17:38:40 15/01/2024, 17.02, 62.63, 47.15, 987.10
17:38:50 15/01/2024, 17.02, 62.63, 47.14, 987.02
17:39:00 15/01/2024, 17.00, 62.59, 47.19, 986.98
17:39:10 15/01/2024, 16.98, 62.56, 47.23, 987.06
17:39:20 15/01/2024, 16.98, 62.56, 47.26, 987.03
17:39:30 15/01/2024, 16.97, 62.54, 47.29, 987.10
17:39:40 15/01/2024, 16.95, 62.51, 47.34, 987.10
17:39:50 15/01/2024, 16.93, 62.47, 47.38, 987.02
17:40:00 15/01/2024, 16.92, 62.46, 47.42, 987.03
17:40:10 15/01/2024, 16.91, 62.44, 47.48, 987.09
17:40:20 15/01/2024, 16.91, 62.44, 47.50, 987.04
17:40:30 15/01/2024, 16.90, 62.43, 47.53, 986.98
17:40:40 15/01/2024, 16.90, 62.42, 47.55, 987.11
17:40:50 15/01/2024, 16.88, 62.39, 47.57, 987.08
17:41:01 15/01/2024, 16.88, 62.39, 47.59, 987.05
17:41:11 15/01/2024, 16.88, 62.38, 47.62, 987.07
17:41:21 15/01/2024, 16.86, 62.36, 47.65, 987.02
17:41:31 15/01/2024, 16.85, 62.34, 47.70, 987.06
17:41:41 15/01/2024, 16.84, 62.32, 47.74, 987.04
17:41:51 15/01/2024, 16.85, 62.33, 47.76, 987.08
17:42:01 15/01/2024, 16.84, 62.31, 47.79, 987.06
17:42:11 15/01/2024, 16.81, 62.25, 47.85, 987.13
17:42:21 15/01/2024, 16.80, 62.24, 47.89, 987.03
17:42:31 15/01/2024, 16.79, 62.23, 47.93, 987.10
17:42:41 15/01/2024, 16.80, 62.24, 47.97, 987.11
17:42:51 15/01/2024, 16.79, 62.22, 47.99, 987.07
17:43:01 15/01/2024, 16.78, 62.20, 48.01, 987.22
17:43:11 15/01/2024, 16.75, 62.14, 48.07, 987.11
17:43:21 15/01/2024, 16.75, 62.14, 48.08, 987.19
17:43:31 15/01/2024, 16.74, 62.13, 48.10, 987.23
17:43:41 15/01/2024, 16.74, 62.13, 48.14, 987.04
17:43:51 15/01/2024, 16.72, 62.10, 48.18, 987.13
17:44:01 15/01/2024, 16.71, 62.07, 48.23, 987.27
17:44:11 15/01/2024, 16.70, 62.06, 48.29, 987.20
17:44:21 15/01/2024, 16.69, 62.03, 48.32, 987.13
17:44:31 15/01/2024, 16.68, 62.02, 48.34, 987.14
17:44:41 15/01/2024, 16.68, 62.02, 48.36, 987.25
17:44:51 15/01/2024, 16.66, 61.98, 48.39, 987.21
17:45:01 15/01/2024, 16.65, 61.97, 48.41, 987.26
17:45:11 15/01/2024, 16.65, 61.96, 48.43, 987.23
17:45:21 15/01/2024, 16.64, 61.95, 48.44, 987.25
17:45:31 15/01/2024, 16.62, 61.92, 48.49, 987.17
17:45:41 15/01/2024, 16.61, 61.91, 48.54, 987.20
17:45:51 15/01/2024, 16.60, 61.89, 48.57, 987.16
17:46:01 15/01/2024, 16.60, 61.88, 48.60, 987.21
17:46:11 15/01/2024, 16.59, 61.87, 48.64, 987.09
17:46:22 15/01/2024, 16.58, 61.85, 48.69, 987.18
17:46:32 15/01/2024, 16.58, 61.85, 48.70, 987.24
17:46:42 15/01/2024, 16.58, 61.85, 48.72, 987.24
17:46:52 15/01/2024, 16.59, 61.87, 48.72, 987.23
17:47:02 15/01/2024, 16.58, 61.85, 48.71, 987.16
17:47:12 15/01/2024, 16.59, 61.86, 48.73, 987.16
17:47:22 15/01/2024, 16.59, 61.87, 48.75, 987.23
17:47:32 15/01/2024, 16.59, 61.86, 48.76, 987.16
17:47:42 15/01/2024, 16.58, 61.85, 48.77, 987.16
17:47:52 15/01/2024, 16.58, 61.85, 48.78, 987.21
17:48:02 15/01/2024, 16.59, 61.87, 48.75, 987.23
17:48:12 15/01/2024, 16.61, 61.91, 48.76, 987.20
17:48:22 15/01/2024, 16.60, 61.89, 48.77, 987.19
17:48:32 15/01/2024, 16.61, 61.91, 48.77, 987.20
17:48:42 15/01/2024, 16.61, 61.91, 48.77, 987.20
17:48:52 15/01/2024, 16.62, 61.92, 48.77, 987.19
17:49:02 15/01/2024, 16.63, 61.94, 48.77, 987.18
17:49:12 15/01/2024, 16.63, 61.94, 48.78, 987.18
17:49:22 15/01/2024, 16.63, 61.93, 48.76, 987.28
17:49:32 15/01/2024, 16.63, 61.94, 48.76, 987.18
17:49:42 15/01/2024, 16.66, 61.98, 48.77, 987.16
17:49:52 15/01/2024, 16.66, 61.99, 48.76, 987.11
17:50:02 15/01/2024, 16.69, 62.03, 48.72, 987.10
17:50:12 15/01/2024, 16.69, 62.04, 48.71, 987.16
17:50:22 15/01/2024, 16.71, 62.08, 48.68, 987.25
17:50:32 15/01/2024, 16.73, 62.11, 48.66, 987.24
17:50:42 15/01/2024, 16.73, 62.11, 48.66, 987.22
17:50:52 15/01/2024, 16.74, 62.13, 48.62, 987.15
17:51:02 15/01/2024, 16.76, 62.16, 48.61, 987.27
17:51:12 15/01/2024, 16.76, 62.16, 48.61, 987.21
17:51:22 15/01/2024, 16.76, 62.17, 48.60, 987.22
17:51:32 15/01/2024, 16.78, 62.20, 48.57, 987.24
17:51:43 15/01/2024, 16.78, 62.20, 48.57, 987.13
17:51:53 15/01/2024, 16.78, 62.21, 48.58, 987.14
17:52:03 15/01/2024, 16.78, 62.21, 48.56, 987.20
17:52:13 15/01/2024, 16.81, 62.26, 48.55, 987.16
17:52:23 15/01/2024, 16.82, 62.27, 48.51, 987.20
17:52:33 15/01/2024, 16.84, 62.31, 48.50, 987.23
17:52:43 15/01/2024, 16.84, 62.31, 48.47, 987.23
17:52:53 15/01/2024, 16.85, 62.33, 48.48, 987.30
17:53:03 15/01/2024, 16.86, 62.35, 48.44, 987.26
17:53:13 15/01/2024, 16.86, 62.36, 48.46, 987.32
17:53:23 15/01/2024, 16.88, 62.38, 48.44, 987.27
17:53:33 15/01/2024, 16.87, 62.37, 48.43, 987.20
17:53:43 15/01/2024, 16.90, 62.42, 48.39, 987.24
17:53:53 15/01/2024, 16.90, 62.42, 48.39, 987.22
17:54:03 15/01/2024, 16.91, 62.44, 48.37, 987.26
17:54:13 15/01/2024, 16.94, 62.48, 48.33, 987.22
17:54:23 15/01/2024, 16.95, 62.51, 48.30, 987.27
17:54:33 15/01/2024, 16.95, 62.51, 48.32, 987.24
17:54:43 15/01/2024, 16.95, 62.51, 48.28, 987.27
17:54:53 15/01/2024, 16.98, 62.57, 48.23, 987.29
17:55:03 15/01/2024, 16.99, 62.58, 48.21, 987.30
17:55:13 15/01/2024, 16.99, 62.58, 48.21, 987.31
17:55:23 15/01/2024, 17.01, 62.62, 48.19, 987.31
17:55:33 15/01/2024, 17.01, 62.62, 48.19, 987.28
17:55:43 15/01/2024, 17.03, 62.65, 48.18, 987.31
17:55:53 15/01/2024, 17.04, 62.68, 48.16, 987.28
17:56:03 15/01/2024, 17.06, 62.70, 48.13, 987.27
17:56:13 15/01/2024, 17.06, 62.71, 48.08, 987.25
17:56:23 15/01/2024, 17.09, 62.77, 48.05, 987.27
17:56:33 15/01/2024, 17.10, 62.79, 48.04, 987.26
17:56:43 15/01/2024, 17.12, 62.81, 48.01, 987.18
17:56:54 15/01/2024, 17.13, 62.84, 47.98, 987.23
17:57:04 15/01/2024, 17.14, 62.86, 47.95, 987.22
17:57:14 15/01/2024, 17.17, 62.91, 47.91, 987.27
17:57:24 15/01/2024, 17.18, 62.92, 47.89, 987.27
17:57:34 15/01/2024, 17.17, 62.91, 47.89, 987.29
17:57:44 15/01/2024, 17.20, 62.96, 47.84, 987.31
17:57:54 15/01/2024, 17.22, 62.99, 47.81, 987.27
17:58:04 15/01/2024, 17.22, 62.99, 47.82, 987.33
17:58:14 15/01/2024, 17.20, 62.96, 47.84, 987.25
17:58:24 15/01/2024, 17.22, 62.99, 47.86, 987.30
17:58:34 15/01/2024, 17.22, 63.00, 47.84, 987.31
17:58:44 15/01/2024, 17.24, 63.02, 47.79, 987.25
17:58:54 15/01/2024, 17.27, 63.08, 47.73, 987.25
17:59:04 15/01/2024, 17.27, 63.08, 47.72, 987.25
17:59:14 15/01/2024, 17.28, 63.10, 47.73, 987.23
17:59:24 15/01/2024, 17.29, 63.12, 47.70, 987.33
17:59:34 15/01/2024, 17.30, 63.13, 47.67, 987.35
17:59:44 15/01/2024, 17.31, 63.16, 47.66, 987.23
17:59:54 15/01/2024, 17.33, 63.19, 47.64, 987.34
18:00:04 15/01/2024, 17.34, 63.21, 47.65, 987.30
18:00:14 15/01/2024, 17.35, 63.23, 47.61, 987.29
18:00:24 15/01/2024, 17.35, 63.23, 47.62, 987.27
18:00:34 15/01/2024, 17.35, 63.23, 47.60, 987.24
18:00:44 15/01/2024, 17.36, 63.25, 47.57, 987.23
18:00:54 15/01/2024, 17.37, 63.26, 47.58, 987.30
18:01:04 15/01/2024, 17.39, 63.30, 47.55, 987.38
18:01:14 15/01/2024, 17.39, 63.31, 47.55, 987.34
18:01:24 15/01/2024, 17.40, 63.33, 47.54, 987.30
18:01:34 15/01/2024, 17.42, 63.35, 47.50, 987.29
18:01:44 15/01/2024, 17.42, 63.35, 47.49, 987.29
18:01:54 15/01/2024, 17.43, 63.37, 47.49, 987.28
18:02:04 15/01/2024, 17.43, 63.37, 47.51, 987.34
18:02:14 15/01/2024, 17.43, 63.37, 47.51, 987.34
18:02:25 15/01/2024, 17.43, 63.37, 47.51, 987.34
18:02:35 15/01/2024, 17.43, 63.37, 47.52, 987.34
18:02:45 15/01/2024, 17.45, 63.41, 47.48, 987.34
18:02:55 15/01/2024, 17.46, 63.43, 47.48, 987.33
18:03:05 15/01/2024, 17.46, 63.43, 47.48, 987.39
18:03:15 15/01/2024, 17.44, 63.39, 47.49, 987.27
18:03:25 15/01/2024, 17.45, 63.41, 47.50, 987.31
18:03:35 15/01/2024, 17.45, 63.42, 47.50, 987.32
18:03:45 15/01/2024, 17.47, 63.45, 47.47, 987.35
18:03:55 15/01/2024, 17.47, 63.45, 47.42, 987.35
18:04:05 15/01/2024, 17.47, 63.45, 47.47, 987.37
18:04:15 15/01/2024, 17.46, 63.43, 47.49, 987.33
18:04:25 15/01/2024, 17.46, 63.43, 47.49, 987.25
18:04:35 15/01/2024, 17.47, 63.45, 47.47, 987.29
18:04:45 15/01/2024, 17.47, 63.45, 47.49, 987.32
18:04:55 15/01/2024, 17.47, 63.45, 47.49, 987.29
18:05:05 15/01/2024, 17.46, 63.43, 47.52, 987.30
18:05:15 15/01/2024, 17.46, 63.43, 47.53, 987.33
18:05:25 15/01/2024, 17.46, 63.43, 47.54, 987.28
18:05:35 15/01/2024, 17.45, 63.41, 47.58, 987.26
18:05:45 15/01/2024, 17.45, 63.41, 47.57, 987.20
18:05:55 15/01/2024, 17.44, 63.40, 47.59, 987.25
18:06:05 15/01/2024, 17.44, 63.39, 47.62, 987.30
18:06:15 15/01/2024, 17.43, 63.38, 47.63, 987.29
18:06:25 15/01/2024, 17.42, 63.36, 47.65, 987.27
18:06:35 15/01/2024, 17.42, 63.35, 47.68, 987.32
18:06:45 15/01/2024, 17.40, 63.33, 47.70, 987.30
18:06:55 15/01/2024, 17.40, 63.32, 47.72, 987.34
18:07:05 15/01/2024, 17.41, 63.34, 47.74, 987.36
18:07:15 15/01/2024, 17.40, 63.32, 47.75, 987.29
18:07:25 15/01/2024, 17.41, 63.34, 47.74, 987.33
18:07:35 15/01/2024, 17.43, 63.37, 47.71, 987.28
18:07:46 15/01/2024, 17.43, 63.38, 47.69, 987.26
18:07:56 15/01/2024, 17.44, 63.39, 47.74, 987.30
18:08:06 15/01/2024, 17.42, 63.35, 47.75, 987.27
18:08:16 15/01/2024, 17.42, 63.35, 47.75, 987.27
18:08:26 15/01/2024, 17.42, 63.35, 47.76, 987.27
18:08:36 15/01/2024, 17.42, 63.36, 47.78, 987.33
18:08:46 15/01/2024, 17.43, 63.37, 47.78, 987.36
18:08:56 15/01/2024, 17.44, 63.39, 47.76, 987.33
18:09:06 15/01/2024, 17.45, 63.41, 47.77, 987.31
18:09:16 15/01/2024, 17.46, 63.44, 47.72, 987.34
18:09:26 15/01/2024, 17.47, 63.45, 47.72, 987.30
18:09:36 15/01/2024, 17.45, 63.41, 47.74, 987.34
18:09:46 15/01/2024, 17.46, 63.43, 47.76, 987.33
18:09:56 15/01/2024, 17.48, 63.46, 47.74, 987.31
18:10:06 15/01/2024, 17.47, 63.45, 47.76, 987.32
18:10:16 15/01/2024, 17.47, 63.45, 47.73, 987.41
18:10:26 15/01/2024, 17.48, 63.46, 47.73, 987.39
18:10:36 15/01/2024, 17.50, 63.50, 47.69, 987.34
18:10:46 15/01/2024, 17.52, 63.54, 47.65, 987.43
18:10:56 15/01/2024, 17.52, 63.54, 47.66, 987.32
18:11:06 15/01/2024, 17.55, 63.58, 47.63, 987.36
18:11:16 15/01/2024, 17.54, 63.57, 47.62, 987.35
18:11:26 15/01/2024, 17.54, 63.56, 47.64, 987.31
18:11:36 15/01/2024, 17.56, 63.61, 47.63, 987.30
18:11:46 15/01/2024, 17.57, 63.62, 47.60, 987.33
18:11:56 15/01/2024, 17.58, 63.65, 47.59, 987.30
18:12:06 15/01/2024, 17.58, 63.65, 47.57, 987.28
18:12:16 15/01/2024, 17.61, 63.69, 47.54, 987.34
18:12:26 15/01/2024, 17.61, 63.69, 47.50, 987.40
18:12:36 15/01/2024, 17.62, 63.72, 47.50, 987.37
18:12:46 15/01/2024, 17.61, 63.70, 47.51, 987.35
18:12:56 15/01/2024, 17.63, 63.74, 47.49, 987.33
18:13:07 15/01/2024, 17.61, 63.70, 47.50, 987.30
18:13:17 15/01/2024, 17.63, 63.74, 47.51, 987.30
18:13:27 15/01/2024, 17.62, 63.71, 47.51, 987.25
18:13:37 15/01/2024, 17.63, 63.74, 47.50, 987.30
18:13:47 15/01/2024, 17.65, 63.77, 47.48, 987.35
18:13:57 15/01/2024, 17.66, 63.78, 47.46, 987.37
18:14:07 15/01/2024, 17.66, 63.79, 47.48, 987.32
18:14:17 15/01/2024, 17.67, 63.80, 47.46, 987.36
18:14:27 15/01/2024, 17.65, 63.78, 47.48, 987.36
18:14:37 15/01/2024, 17.67, 63.80, 47.46, 987.41
18:14:47 15/01/2024, 17.68, 63.83, 47.44, 987.33
18:14:57 15/01/2024, 17.67, 63.80, 47.46, 987.39
18:15:07 15/01/2024, 17.66, 63.79, 47.49, 987.43
18:15:17 15/01/2024, 17.67, 63.81, 47.49, 987.37
18:15:27 15/01/2024, 17.66, 63.79, 47.49, 987.43
18:15:37 15/01/2024, 17.64, 63.76, 47.51, 987.40
18:15:47 15/01/2024, 17.63, 63.74, 47.54, 987.44
18:15:57 15/01/2024, 17.63, 63.74, 47.57, 987.47
18:16:07 15/01/2024, 17.64, 63.76, 47.58, 987.43
18:16:17 15/01/2024, 17.63, 63.74, 47.59, 987.47
18:16:27 15/01/2024, 17.63, 63.73, 47.61, 987.46
18:16:37 15/01/2024, 17.62, 63.72, 47.62, 987.45
18:16:47 15/01/2024, 17.61, 63.70, 47.64, 987.46
18:16:57 15/01/2024, 17.60, 63.68, 47.67, 987.45
18:17:07 15/01/2024, 17.60, 63.68, 47.70, 987.45
18:17:17 15/01/2024, 17.59, 63.66, 47.71, 987.39
18:17:27 15/01/2024, 17.58, 63.64, 47.75, 987.41
18:17:37 15/01/2024, 17.56, 63.61, 47.77, 987.46
18:17:47 15/01/2024, 17.58, 63.64, 47.80, 987.46
18:17:57 15/01/2024, 17.56, 63.60, 47.82, 987.51
18:18:07 15/01/2024, 17.56, 63.60, 47.83, 987.46
18:18:18 15/01/2024, 17.55, 63.59, 47.87, 987.48
18:18:28 15/01/2024, 17.54, 63.57, 47.89, 987.57
18:18:38 15/01/2024, 17.53, 63.55, 47.92, 987.46
18:18:48 15/01/2024, 17.50, 63.50, 47.98, 987.40
18:18:58 15/01/2024, 17.51, 63.51, 47.99, 987.40
18:19:08 15/01/2024, 17.48, 63.46, 48.04, 987.42
18:19:18 15/01/2024, 17.47, 63.45, 48.07, 987.49
18:19:28 15/01/2024, 17.47, 63.45, 48.09, 987.41
18:19:38 15/01/2024, 17.47, 63.45, 48.11, 987.52
18:19:48 15/01/2024, 17.45, 63.41, 48.12, 987.53
18:19:58 15/01/2024, 17.46, 63.43, 48.13, 987.50
18:20:08 15/01/2024, 17.44, 63.40, 48.16, 987.53
18:20:18 15/01/2024, 17.44, 63.40, 48.17, 987.42
18:20:28 15/01/2024, 17.43, 63.37, 48.21, 987.50
18:20:38 15/01/2024, 17.44, 63.39, 48.19, 987.44
18:20:48 15/01/2024, 17.43, 63.37, 48.22, 987.45
18:20:58 15/01/2024, 17.41, 63.34, 48.26, 987.53
18:21:08 15/01/2024, 17.40, 63.33, 48.29, 987.49
18:21:18 15/01/2024, 17.39, 63.30, 48.34, 987.49
18:21:28 15/01/2024, 17.39, 63.30, 48.38, 987.52
18:21:38 15/01/2024, 17.37, 63.26, 48.40, 987.49
18:21:48 15/01/2024, 17.37, 63.27, 48.44, 987.50
18:21:58 15/01/2024, 17.35, 63.23, 48.46, 987.52
18:22:08 15/01/2024, 17.33, 63.19, 48.51, 987.48
18:22:18 15/01/2024, 17.32, 63.18, 48.54, 987.44
18:22:28 15/01/2024, 17.32, 63.17, 48.55, 987.49
18:22:38 15/01/2024, 17.32, 63.18, 48.58, 987.53
18:22:48 15/01/2024, 17.31, 63.15, 48.61, 987.53
18:22:58 15/01/2024, 17.30, 63.13, 48.65, 987.46
18:23:08 15/01/2024, 17.29, 63.12, 48.69, 987.50
18:23:18 15/01/2024, 17.28, 63.10, 48.70, 987.48
18:23:28 15/01/2024, 17.27, 63.08, 48.73, 987.55
18:23:39 15/01/2024, 17.25, 63.05, 48.76, 987.55
18:23:49 15/01/2024, 17.26, 63.06, 48.81, 987.50
18:23:59 15/01/2024, 17.24, 63.03, 48.84, 987.65
18:24:09 15/01/2024, 17.23, 63.01, 48.87, 987.57
18:24:19 15/01/2024, 17.22, 62.99, 48.90, 987.47
18:24:29 15/01/2024, 17.22, 62.99, 48.90, 987.49
18:24:39 15/01/2024, 17.19, 62.95, 48.96, 987.55
18:24:49 15/01/2024, 17.19, 62.94, 48.99, 987.51
18:24:59 15/01/2024, 17.17, 62.91, 49.02, 987.51
18:25:09 15/01/2024, 17.18, 62.93, 49.03, 987.47
18:25:19 15/01/2024, 17.16, 62.90, 49.07, 987.61
18:25:29 15/01/2024, 17.14, 62.86, 49.10, 987.49
18:25:39 15/01/2024, 17.14, 62.85, 49.13, 987.48
18:25:49 15/01/2024, 17.12, 62.82, 49.16, 987.49
18:25:59 15/01/2024, 17.13, 62.83, 49.18, 987.50
18:26:09 15/01/2024, 17.12, 62.81, 49.20, 987.51
18:26:19 15/01/2024, 17.11, 62.80, 49.21, 987.55
18:26:29 15/01/2024, 17.09, 62.77, 49.28, 987.69
18:26:39 15/01/2024, 17.09, 62.77, 49.29, 987.52
18:26:49 15/01/2024, 17.09, 62.76, 49.31, 987.51
18:26:59 15/01/2024, 17.09, 62.77, 49.35, 987.49
18:27:09 15/01/2024, 17.07, 62.73, 49.34, 987.52
18:27:19 15/01/2024, 17.08, 62.74, 49.36, 987.53
18:27:29 15/01/2024, 17.07, 62.72, 49.37, 987.59
18:27:39 15/01/2024, 17.08, 62.74, 49.37, 987.55
18:27:49 15/01/2024, 17.07, 62.72, 49.40, 987.56
18:27:59 15/01/2024, 17.06, 62.71, 49.44, 987.58
